SSOC 2015,OCCUPATION,,SSOC 2010
31171,Manufacturing engineering technician (general),,31171
31172,Production engineering technician,,31172
31173,Automation designer,,31173
31174,Automation technician,,31174
31175,Quality assurance technician,,31175
31179,Other manufacturing engineering technicians ,,31179
,,,
,,,
3118,Draughtsmen,,
31181,Draughtsman (general),,31181
31182,Mechanical draughtsman,,31182
31183,Electrical/Electronics draughtsman,,31183
31184,Civil/Structural engineering draughtsman,,31184
31185,Architectural draughtsman,,31185
31186,Marine draughtsman,,31186
31189,Other draughtsmen (eg cartographical draughtsman) ,,31189
,,,
,,,
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,,
31191,Mechatronics technician,,31191
31192,Refining/Smelting technician,,31192
31193,Physical metallurgy technician,,31193
31194,Petroleum and natural gas extraction technician,,31194
31195,Electronic pre-press technician,,31195
31196,Precision optics technician,,31196
31197,Quantity surveying technician,,31197
31199,Other physical and engineering science technicians n.e.c.,,31199
,,,
,,,
314,LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE ,,
,     PROFESSIONALS,,
,,,
,,,
3141,Life Science Technicians (Except Medical),,
31411,Biological technician,,31411
31412,Food science technician,,31412
31413,Clinical research coordinator,,new item
31419,Other life science technicians,,31419
,,,
,,,
3142,"Agronomy, Horticultural and Farming Technicians",,
31421,Horticultural technician (including irrigation specialist),,31421
31422,Plant tissue culture technician,,31422
31423,Farming technician (animal production),,31423
31429,"Other agronomy, horticultural and farming related technicians",,31429
,,,
,,,
315,SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS,,
,,,
,,,
3151,Ship Engineering Officers,,
31510,Marine engineering officer,,31512
,,,
,,,
3152,Ships' Deck Officers and Pilots,,
31521,"Ship's navigating officer (including chief, second and third officer)",,31522
31522,Ship pilot,,31523
31529,Other ships' deck officers and pilots,,31529
,,,
,,,
3154,Air Traffic Controllers,,
31540,Air traffic controller,,31540
,,,
,,,
3156,Sea Traffic Controllers,,
31560,Sea traffic controller,,31560
,,,
,,,
3157,Transport Operations Supervisors,,
31571,Air transport service supervisor,,31571
31572,MRT service supervisor,,31572
31573,Road transport supervisor,,31573
31574,Port/Shipping operations supervisor,,31574
31579,Other transport operations supervisors ,,31579
,,,
,,,
3159,Transport Controllers and Related Workers Not Elsewhere Classified,,
31591,Port master/Dockmaster ,,31591
31592,Port captain,,31592
31593,Flight operations officer,,31594
31594,Air cargo officer,,31595
31595,Load-sheet officer (aircraft),,31596
31596,MRT operations officer,,31597
31599,Other transport controllers and related workers n.e.c.,,31599
,,,
,,,
316,PREMISES AND PARKS OFFICERS,,
,,,
,,,
3160,Premises and Parks Officers,,
31601,Premises and facilities maintenance officer,,31601
31602,Landscape operations officer,,31602
31603,Parks officer,,31603
,,,
,,,
317,"BUILDING, QUALITY AND SAFETY INSPECTORS",,
,,,
,,,
3171,Building and Fire Inspectors,,
31711,Fire and safety inspector,,31711
31719,Other building and fire inspectors,,31719
,,,
,,,
3172,Quality and Safety Inspectors,,
31720,"Safety inspector (vehicles, processes and products)",,31720
,,,
,,,
32,HEALTH ASSOCIATE PROFESSIONALS,,
,,,
,,,
321,MEDICAL AND PHARMACEUTICAL TECHNICIANS,,
,,,
,,,
3211,Medical Imaging and Therapeutic Equipment Technicians,,
32111,Sonographer,,32113
32112,Medical X-ray technician,,32114
32119,"Other medical imaging, therapeutic equipment technicians and related ",,32119
,     associate professionals,,
,,,
,,,
3212,Medical and Pathology Laboratory Technicians,,
32120,Medical and pathology laboratory technician,,32120
,,,
,,,
3213,Pharmacy Technicians,,
32130,Pharmacy technician,,32130
,,,
,,,
3214,Medical and Dental Prosthetic Technicians,,
32141,Prostheist/Orthopaedic technician,,32141
32142,Orthotist/Orthopaedic appliance maker and repairer,,32142
32143,Dental technician,,32143
,,,
,,,
322,NURSING ASSOCIATE PROFESSIONALS,,
,,,
,,,
3220,Nursing Associate Professionals,,
32200,Enrolled/Assistant nurse (excluding registered nurse),,32202
,,,
,,,
323,TRADITIONAL AND COMPLEMENTARY MEDICINE ASSOCIATE ,,
,     PROFESSIONALS,,
,,,
,,,
3230,Traditional and Complementary Medicine Associate Professionals,,
32300,Traditional and complementary medicine associate professional,,32300
,     (eg homeopath and naturopath),,
,,,
,,,
324,VETERINARY TECHNICIANS AND ASSISTANTS,,
,,,
,,,
3240,Veterinary Technicians and Assistants,,
32400,Veterinary technician/assistant ,,32400
,,,
,,,
325,OTHER HEALTH ASSOCIATE PROFESSIONALS,,
,,,
,,,
3251,Dental Assistants and Therapists,,
32511,Dental assistant,,32511
32512,Oral health therapist (eg dental therapists and dental hygienists),,32512
,,,
,,,
3253,Community Health Workers,,
32530,Community health worker,,32595
,,,
,,,
3254,Opticians,,
32540,Optician,,32542
,,,
,,,
3255,Physiotherapy Technicians and Related Associate Professionals,,
32551,Massage therapist,,32552
32559,Other physiotherapy technicians and related associated professionals,,32559 (part)
,,,
,,,
3257,Environmental and Occupational Health Inspectors,,
32571,Environmental inspector (environmental public health),,32571
32572,Occupational health inspector,,32572
,,,
,,,
3259,Health Associate Professionals Not Elsewhere Classified,,
32591,Paramedic,,32594
32599,Other health associate professionals n.e.c.,,32599
,,,
,,,
33,BUSINESS AND ADMINISTRATION ASSOCIATE PROFESSIONALS,,
,,,
,,,
331,FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS,,
,,,
,,,
3312,Credit and Loans Officers,,
33120,Credit and loans officer,,33120
,,,
,,,
3313,Accounting Associate Professionals,,
33130,"Accounting associate professional (eg assistant accountant, audit ",,33130
,     (accounting) executive),,
,,,
,,,
3315,Valuers and Loss Assessors,,
33151,Appraiser/Valuer (excluding intangible asset valuer),,33151 (part)
33152,Assessor,,33152
33153,Intangible asset valuer (eg Intellectual property valuation analyst),,33151 (part)
,,,
,,,
332,SALES AND RELATED ASSOCIATE PROFESSIONALS,,
,,,
,,,
3321,Insurance Representatives and Related Associate Professionals,,
33211,Insurance sales agent/broker (including independent financial planner),,33211
33219,Other insurance representatives and related associate professionals,,33219
,,,
,,,
3322,Commercial and Marketing Sales Executives,,
33221,Business development executive,,33221
33222,After sales adviser/Client account service executive,,33226
33223,Marketing and sales executive (food & beverage services),,33229 (part)
33229,"Other commercial and marketing sales executives
",,33229 (part)
,,,
,,,
3323,Buyers and Purchasing Agents,,
33231,Buyer,,33231
33232,Purchasing agent,,33232
,,,
,,,
3329,Sales and Related Associate Professionals Not Elsewhere Classified,,
33291,Intellectual property brokers and transaction specialists,,new item
33299,Sales and related associate professional n.e.c.,,33290 
,,,
,,,
333,BUSINESS SERVICES AGENTS,,
,,,
,,,
3331,"Shipping, Clearing and Forwarding Agents",,
33311,Clearing and forwarding agent,,33311
33312,Ship agent,,33312
,,,
,,,
3332,Conference and Event Planners,,
33320,Exhibition/Conference/Event planner (including wedding ,,33320
,     planner/coordinator),,
,,,
,,,
3333,Employment Agents and Labour Contractors,,
33330,Employment agent/Labour contractor,,33330
,,,
,,,
3334,Real Estate Agents ,,
33340,Real estate agent,,33340
,,,
,,,
3339,Business Services Agents Not Elsewhere Classified,,
33391,Auctioneer,,33391
33392,Advertising salesman,,33392
33393,International market agent/representative (eg junket operator),,new item
33399,"Other business services agents n.e.c. (eg sports agent, artiste agent)",,33399
,,,
,,,
334,ADMINISTRATIVE ASSOCIATE PROFESSIONALS,,
,,,
,,,
3345,Human Resource Associate Professionals,,
33451,Personnel/Human resource officer     ,,33461
33452,Industrial relations officer  ,,33462
33453,Training officer,,33463
33454,Crewing executive (ship),,33464
,,,
,,,
3349,Administrative and Related Associate Professionals Not Elsewhere ,,
,     Classified,,
33491,Management executive,,33491
33492,Operations officer (except transport operations) ,,33493
33499,Other administrative and related associate professionals n.e.c.,,33499
,     (eg career consultant/advisor/coach) ,,
,,,
,,,
335,GOVERNMENT ASSOCIATE PROFESSIONALS,,
,,,
,,,
3351,Customs and Immigration Officers,,
33510,Customs/Immigration officer,,33510
,,,
,,,
3355,Police Inspectors,,
33550,Police inspector ,,33550
,,,
,,,
3359,Government Associate Professionals Not Elsewhere Classified ,,
33591,Government tax and excise official,,33591
33592,Government social benefits official ,,33592
33593,Government licensing official,,33593
33599,Other government associate professionals n.e.c.,,33599
,,,
,,,
34,"LEGAL, SOCIAL, CULTURAL AND RELATED ASSOCIATE ",,
,     PROFESSIONALS,,
,,,
,,,
341,LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS,,
,,,
,,,
3411,Legal Associate Professionals,,
34110,Legal associate professional (eg paralegal),,34110
,,,
,,,
3412,Social Work Associate Professionals,,
34121,Youth worker,,34121
34129,Other social work associate professionals,,34129
,,,
,,,
342,SPORTS AND FITNESS WORKERS,,
,,,
,,,
3421,Athletes and Sportsmen,,
34210,Athlete/Sportsman,,34210
,,,
,,,
3422,"Sports Coaches, Instructors, Officials and Other Related Associate",,
,     Professionals,,
34221,Sports coach ,,34221
34222,Martial arts instructor,,34222
34223,Physical fitness instructor (including yoga instructor and aerobics ,,34223
,     instructor),,
34224,Sports official,,34224
34229,Other related instructors and associate professionals (eg adventure,,34229
,     training instructor and scuba diving instructor),,
,,,
,,,
343,ARTISTIC AND CULTURAL ASSOCIATE PROFESSIONALS,,
,,,
,,,
3431,Photographers,,
34310,Photographer,,34310
,,,
,,,
3432,Interior Designers and Decorators,,
34321,Interior designer ,,34321
34322,Landscape designer,,34322
34323,Display artist,,34323
34324,Decorator and related worker (eg window dresser and set designer) ,,34324
,,,
,,,
3433,"Gallery, Museum and Library Technicians",,
34331,Library officer,,34331
34332,"Gallery, museum and related technician",,34332
,,,
,,,
3434,Chefs,,
34340,Chef,,51201 
,,,
,,,
3439,Artistic and Cultural Associate Professionals Not Elsewhere Classified,,
34391,Tattooist,,34392
34399,Other artistic and cultural associate professionals n.e.c.,,34399
,,,
,,,
344,CREATIVE AND PERFORMING ARTS ASSOCIATE PROFESSIONALS,,
,,,
,,,
3440,Creative and Performing Arts Associate Professionals,,
34401,Clown,,34421
34402,Magician,,34422
34403,Acrobat,,34423
34404,Aerialist,,34424
34405,Disc jockey,,34414
34409,Other creative and performing arts associate professionals,,"34419 (part),"
,     ,,34429
,,,
,,,
35,INFORMATION AND COMMUNICATIONS TECHNICIANS,,
,,,
,,,
351,INFORMATION AND COMMUNICATIONS TECHNOLOGY ,,
,     OPERATORS AND TECHNICIANS,,
,,,
,,,
3511,Computer Systems Operators,,
35110,Computer systems operator,,35110
,,,
,,,
3512,Computer Technicians,,
35120,Computer technician (including IT user helpdesk technician),,35120
,,,
,,,
3514,Website Administrators,,
35140,Website administrator/Webmaster,,35140
,,,
,,,
352,TELECOMMUNICATIONS AND BROADCASTING TECHNICIANS ,,
,     AND AUDIO-VISUAL OPERATORS,,
,,,
,,,
3521,Broadcasting Technicians and Audio-Visual Operators,,
35211,Broadcasting operations technician,,35211
35212,Video camera operator ,,35212
35213,Television/Motion picture camera operator ,,35213
35214,Radio and television studio equipment operator ,,35214
35215,Sound recording equipment operator ,,35215
35216,Cinema projectionist,,59001
35219,Other broadcasting technicians and audio-visual operators ,,"35219, "
,     (eg microphone operator),,59009 (part)
,,,
,,,
3522,Telecommunications Engineering Technicians ,,
35220,Telecommunications technician,,35220
,,,
,,,
3523,Telecommunications Equipment Operators,,
35231,Telecommunications service supervisor,,35231
35232,Radio-telephone operator (land-based),,35232
35233,Ship's radio officer,,35233
35234,Flight radio operator,,35234
35239,Other telecommunications equipment operators,,35239
,,,
,,,
3529,Optical and Electronic Equipment Operators Not Elsewhere Classified,,
35290,Optical and electronic equipment operator n.e.c.,,35290
,,,
,,,
36,TEACHING ASSOCIATE PROFESSIONALS,,
,,,
,,,
361,PRE-PRIMARY EDUCATION TEACHERS,,
,,,
,,,
3610,Pre-Primary Education Teachers,,
36100,Pre-primary education teacher ,,36100
,,,
,,,
362,EXTRACURRICULUM INSTRUCTORS,,
,,,
,,,
3620,Extracurriculum Instructors,,
36201,Language instructor (extracurriculum),,36201
36202,Art and craft instructor (extracurriculum),,36202
36203,Information technology trainer (extracurriculum),,36203
36204,Music instructor (extracurriculum),,36204
36205,Dance instructor (extracurriculum),,36205
36206,Speech and drama instructor (extracurriculum),,36206
36209,Other extracurriculum instructors,,36209
,,,
,,,
369,TEACHING ASSOCIATE PROFESSIONALS NOT ELSEWHERE ,,
,     CLASSIFIED,,
,,,
,,,
3691,Private Tutors,,
36910,Private tutor (academic),,36910
,,,
,,,
3699,Teaching Associate Professionals Not Elsewhere Classified,,
36991,Relief teacher,,36991
36999,Other teaching associate professionals n.e.c.,,36999
,,,
,,,
39,OTHER ASSOCIATE PROFESSIONALS NOT ELSEWHERE ,,
,     CLASSIFIED,,
,,,
,,,
399,OTHER ASSOCIATE PROFESSIONALS NOT ELSEWHERE ,,
,     CLASSIFIED,,
,,,
,,,
3991,Religious Associate Professionals,,
39910,Non-ordained religious associate professional,,39910
,,,
,,,
3999,Other Associate Professionals Not Elsewhere Classified,,
39990,Other associate professionals n.e.c.,,39990
,,,
,,,
4,CLERICAL SUPPORT WORKERS,,
,,,
,,,
40,CLERICAL SUPERVISORS,,
,,,
,,,
400,CLERICAL SUPERVISORS,,
,,,
,,,
4000,Clerical Supervisors,,
40000,Clerical supervisor ,,40000
,,,
,,,
41,GENERAL AND KEYBOARD CLERKS,,
,,,
,,,
411,GENERAL OFFICE CLERKS ,,
,,,
,,,
4110,General Office Clerks,,
41101,Office clerk (general),,41101
41102,Filing and copying clerk ,,41102
41103,Personnel/Human resource clerk,,41103
41109,Other administrative clerks (eg public relations clerk),,41109
,,,
,,,
412,SECRETARIES AND VERBATIM REPORTERS,,
,,,
,,,
4120,Secretaries and Verbatim Reporters,,
41201,Secretary,,41201
41202,Verbatim reporter,,41202
,,,
,,,
413,KEYBOARD OPERATORS,,
,,,
,,,
4131,Typists and Word Processing Operators,,
41311,Stenographer,,41311
41312,Typist,,41312
41319,Other word processors and related operators,,41319
,,,
,,,
4132,Data Entry Clerks,,
41320,Data entry clerk,,41320
,,,
,,,
42,CUSTOMER SERVICES OFFICERS AND CLERKS,,
,,,
,,,
421,"TELLERS, MONEY COLLECTORS AND RELATED CLERKS",,
,,,
,,,
4211,Bank Tellers and Other Counter Clerks,,
42111,Bank teller,,42111
42112,Postal service counter clerk,,42112
42113,Money changer,,42113
42119,Other tellers and counter clerks,,42119
,,,
,,,
4213,Pawnbrokers and Moneylenders,,
42131,Pawnbroker,,42131
42132,Moneylender,,42132
,,,
,,,
4214,Bill Collectors and Related Workers,,
42141,Bill collector,,42141
42149,Other bill collectors and related workers,,42149
,,,
,,,
422,CLIENT INFORMATION CLERKS,,
,,,
,,,
4221,Travel Agency and Related Clerks,,
42210,Travel agency/service clerk,,42210 
,,,
,,,
4223,Telephone Operators,,
42230,Telephone operator,,42230
,,,
,,,
4224,"Receptionists, Customer Service and Information Clerks",,
42241,Receptionist (general),,42241
42242,Hotel receptionist,,42242
42243,Medical/Dental receptionist,,42243
42244,Airport receptionist/clerk,,42244
42245,Customer service officer/clerk,,42245
42246,Contact centre information clerk ,,42246
42249,Other receptionists and information clerks,,42249
,,,
,,,
4229,Client Information Clerks Not Elsewhere Classified,,
42290,Client information clerk n.e.c.,,42290 
,,,
,,,
43,NUMERICAL AND MATERIAL-RECORDING CLERKS,,
,,,
,,,
431,NUMERICAL CLERKS,,
,,,
,,,
4311,Accounting and Bookkeeping Clerks,,
43111,Bookkeeper,,43111
43112,Ledger and accounts clerk,,43112
43113,Audit clerk,,43113
43114,Payroll/Wages clerk,,43114
43115,Billing clerk,,43115
43116,Purchasing clerk,,43116
43119,Other accounting clerks (eg cost clerk),,43119
,,,
,,,
4312,Finance and Insurance Clerks,,
43121,Bank operations clerk,,43121
43122,Insurance/Underwriting clerk,,43122
43123,Securities clerk,,43123
43129,Other finance and insurance clerks (eg credit clerk),,43129
,,,
,,,
4314,Statistical Clerks,,
43141,Statistical clerk (general),,43141
43142,Enumerator/Market research interviewer ,,43142
43149,Other statistical clerks,,43149
,,,
,,,
4315,Computer Operations Clerks,,
43151,Data processing control clerk,,43151
43159,Other computer operations clerks,,43159
,,,
,,,
432,MATERIAL-RECORDING AND TRANSPORT CLERKS,,
,,,
,,,
4321,Stock Clerks,,
43211,Stock records clerk,,43211
43212,Storekeeper,,43212
43219,Other stock clerks,,43219
,,,
,,,
4322,Production Clerks,,
43221,Material planning clerk,,43221
43222,Production planning clerk,,43222
43229,Other production clerks,,43229
,,,
,,,
4323,Transport Clerks,,
43231,Shipping clerk,,43231
43232,Land transport clerk,,43239 (part)
43233,Air transport clerk,,43239 (part)
43239,Other transport clerks,,43239 (part)
,,,
,,,
44,OTHER CLERICAL SUPPORT WORKERS,,
,,,
,,,
441,OTHER CLERICAL SUPPORT WORKERS,,
,,,
,,,
4411,Library Clerks,,
44110,Library clerk ,,44110
,,,
,,,
4417,Legal Clerks,,
44170,Legal clerk ,,44170
,,,
,,,
4419,Clerical Support Workers Not Elsewhere Classified,,
44191,Proofreading clerk,,44191
44199,Other clerical support workers n.e.c.,,44199
,,,
,,,
5,SERVICE AND SALES WORKERS,,
,,,
,,,
51,PERSONAL SERVICE WORKERS,,
,,,
,,,
511,"TRAVEL ATTENDANTS, CONDUCTORS AND GUIDES",,
,,,
,,,
5111,Travel Attendants and Stewards,,
51111,Chief steward (ship),,51111
51112,Cabin attendant/steward,,51112
,,,
,,,
5112,Transport Service Inspectors and Related Workers,,
51121,Rail station service assistant,,51121
51122,Ticket inspector,,51122
51129,Other transport service inspectors and related workers ,,51129
,,,
,,,
5113,Tour and Other Guides,,
51131,Tour guide,,51131
51132,"Nature guide (including zoo, birdpark and aquarium)",,51132
51133,Theme park guide,,51133
51139,"Other guides (eg museum, historical sites)",,51139
,,,
,,,
512,COOKS,,
,,,
,,,
5120,Cooks,,
51200,Cook,,51202
,,,
,,,
513,WAITERS AND BARTENDERS,,
,,,
,,,
5131,Waiters ,,
51311,Captain waiter/Waiter supervisor,,51311
51312,Waiter ,,51312
,,,
,,,
5132,Bartenders and Baristas,,
51321,Bartender/Mixologist,,51320 (part)
51322,Barista,,51320 (part)
,,,
,,,
5133,Bar/Lounge Hostesses,,
51330,Bar/Lounge hostess,,51330
,,,
,,,
5139,Waiters and Bartenders Not Elsewhere Classified,,
51390,Waiter and bartender n.e.c. (eg food checker (catering services)),,51390
,,,
,,,
514,"HAIRDRESSERS, BEAUTICIANS AND RELATED WORKERS",,
,,,
,,,
5141,"Hairdressers, Barbers and Other Related Workers",,
51411,Hair stylist/Hairdresser,,51411
51412,Barber,,51412
51419,Other hair care workers (eg hair therapist/consultant),,51419
,,,
,,,
5142,Beauticians and Related Workers,,
51421,Beautician,,51421
51422,Manicurist,,51422
51423,"Make-up artist (stage, film and studio)",,51423
,,,
,,,
5149,Wellness Related Workers Not Elsewhere Classified,,
51491,Masseur (non-medical) (including foot reflexologist),,51491
51492,Slimming consultant,,51492
51499,Other wellness related workers n.e.c.,,51499
,,,
,,,
515,HOUSEKEEPERS AND RELATED WORKERS,,
,,,
,,,
5150,Housekeepers and Related Workers,,
51501,Housekeeper (hotels and other establishments),,51501
51502,House steward,,51502
51503,Housekeeping matron,,51503
51509,Other housekeepers and related workers (eg personal butler),,51509
,,,
,,,
516,MAIL CARRIERS AND SORTING WORKERS,,
,,,
,,,
5160,Mail Carriers and Sorting Workers,,
51601,Postal/Courier service supervisor,,51601
51602,Postman,,51602
51603,Process server,,51603
51604,Despatch worker,,51604
51609,Other mail distribution workers (eg mail sorter),,51609
,,,
,,,
517,"BOOKMAKERS, CROUPIERS AND RELATED GAMING WORKERS",,
,,,
,,,
5170,"Bookmakers, Croupiers and Related Gaming Workers",,
51701,"Gaming supervisor (eg pit manager/supervisor, slot ",,51701
,     manager/supervisor and casino shift manager/supervisor),,
51702,Bookmaker/Croupier/Casino dealer and related gaming worker,,51702
,,,
,,,
519,PERSONAL SERVICE WORKERS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
5191,"Astrologers, Fortune-tellers and Related Workers",,
51910,Astrologer/Fortune teller and related worker,,51910
,,,
,,,
5193,Undertakers and Embalmers,,
51931,Undertaker,,51931
51932,Embalmer,,51932
,,,
,,,
5194,"Pet Groomers, Animal Keepers and Trainers",,
51941,Pet groomer,,51941
51942,"Keeper/Trainer in zoological, bird and aquatic parks",,51942
51943,Keeper/Trainer in crocodile farm,,51943
51944,Horse trainer,,51944
51945,Dog trainer,,51945
51949,Other animal/bird keepers and animal care workers,,51949
,,,
,,,
5195,Driving Instructors,,
51950,Driving instructor/tester,,51950
,,,
,,,
5199,Personal Service Workers Not Elsewhere Classified,,
51991,Social escort,,51991
51999,Other personal service workers n.e.c.,,51999
,,,
,,,
52,SALES WORKERS,,
,,,
,,,
521,STALL SALES WORKERS,,
,,,
,,,
5211,Hawker/Stall Holders (Excluding Prepared Food Or Drinks),,
52110,Hawker/Stall holder (excluding prepared food or drinks),,52110
,,,
,,,
5212,Hawker/Stall Holders (Prepared Food Or Drinks),,
52120,Hawker/Stall holder (prepared food or drinks),,52120
,,,
,,,
5213,Newsvendors,,
52130,Newsvendor,,52130
,,,
,,,
5219,Other Stall Sales Workers,,
52190,Other stall sales workers,,52190
,,,
,,,
522,SHOP SALESPERSONS,,
,,,
,,,
5220,Shop and Store Salespersons,,
52201,Sales supervisor,,52201
52202,Shop sales assistant,,52202
,,,
,,,
523,CASHIERS AND TICKET CLERKS,,
,,,
,,,
5230,Cashiers and Ticket Clerks,,
52301,Cage/Count supervisor,,52301
52302,Cashier (general),,52302
52303,Office cashier,,52303
52309,"Other cashiers, ticket and related clerks",,52309
,,,
,,,
524,"MODELS, SALES DEMONSTRATORS AND OTHER SALES WORKERS",,
,,,
,,,
5241,Fashion and Other Models,,
52411,Fashion model,,52411
52419,Other models (eg artist's model),,52419
,,,
,,,
5242,Sales Demonstrators and Door-to-Door Salespersons,,
52421,Sales demonstrator ,,52421
52422,Salesperson (door-to-door),,52422
,,,
,,,
5244,Contact Centre Salespersons,,
52440,Telemarketer,,52440
,,,
,,,
5249,Sales Workers Not Elsewhere Classified,,
52491,Petrol station attendant,,52491
52492,Food service counter attendant  ,,52492
52499,Sales worker n.e.c. (eg ship chandler),,52499
,,,
,,,
53,PERSONAL CARE WORKERS,,
,,,
,,,
531,CHILD CARE WORKERS AND TEACHERS' AIDES,,
,,,
,,,
5311,Child Care and Related Workers,,
53111,Babysitter (household),,53111
53112,Confinement nanny,,53112
53113,Child /After school care centre worker,,53113
53114,Child/Youth residential care assistant,,53114
,,,
,,,
5312,Teachers' Aides,,
53120,Teachers' aide,,53120
,,,
,,,
532,HEALTHCARE ASSISTANTS AND OTHER PERSONAL CARE ,,
,     WORKERS,,
,,,
,,,
5320,Healthcare Assistants and Other Personal Care Workers,,
53201,Healthcare assistant (eg therapy aide/assistant),,53201
53209,Other personal care worker (eg old folks home),,53209
,,,
,,,
54,PROTECTIVE SERVICES WORKERS,,
,,,
,,,
541,PROTECTIVE SERVICES WORKERS,,
,,,
,,,
5411,Fire-Fighting and Rescue Officers,,
54110,Fire-fighting and rescue officer,,54110
,,,
,,,
5412,Police Officers,,
54121,Police officer,,54121
54122,Narcotics officer,,54122
54123,Auxiliary police officer,,54123
,,,
,,,
5413,Prison Officers,,
54130,Prison officer,,54130
,,,
,,,
5414,Security Guards,,
54141,Security supervisor ,,54140 (part)
54142,Private security officer,,54140 (part)
,,,
,,,
5415,Lifeguards,,
54150,Lifeguard,,54150
,,,
,,,
5419,Protective Services and Related Workers Not Elsewhere Classified,,
54191,Private investigator,,54191
54192,Industrial investigator,,54192
54193,Insurance investigator,,54193
54194,Park ranger,,54194
54199,Other protective services and related workers n.e.c.,,54199
,,,
,,,
59,SERVICE WORKERS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
590,SERVICE WORKERS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
5900,Service Workers Not Elsewhere Classified,,
59000,Service workers n.e.c. ,,59009 (part)
,,,
,,,
6,AGRICULTURAL AND FISHERY WORKERS,,
,,,
,,,
61,AGRICULTURAL WORKERS,,
,,,
,,,
611,MARKET GARDENERS AND CROP GROWERS,,
,,,
,,,
6111,Vegetable Farm Workers,,
61111,Hydroponics farm worker,,61111
61112,Mushroom farm worker,,61112
61119,Other vegetable farm workers ,,61119
,,,
,,,
6113,"Gardeners, Horticultural and Nursery Farm Workers",,
61131,Flower/Orchid farm worker,,61131
61132,Nursery worker (eg nursery technician),,61132 (part)
61133,Gardeners and horticultural workers (eg landscape technician),,61139 (part)
61134,Nursery supervisor,,61132 (part)
61139,Other horticultural and nursery farm workers ,,61139 (part)
,,,
,,,
612,ANIMAL PRODUCERS,,
,,,
,,,
6121,Livestock and Dairy Farm Workers,,
61210,Livestock/Dairy farm worker,,61210
,,,
,,,
6122,Poultry Farm Workers,,
61221,Poultry farm worker (general),,61221
61222,Poultry hatchery worker,,61222
61223,Poultry inseminator,,61223
61229,Other poultry farm workers (eg poultry vaccinator),,61229
,,,
,,,
619,AGRICULTURAL WORKERS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
6190,Agricultural Workers Not Elsewhere Classified,,
61900,Agricultural worker n.e.c.,,61900
,,,
,,,
62,FISHERY WORKERS,,
,,,
,,,
622,FISHERY WORKERS,,
,,,
,,,
6221,Aquaculture Workers,,
62211,Fish/Prawn farm worker,,62211
62212,Aquarium fish farm worker,,62212
62213,Crocodile farm worker,,62213
62219,Other aquatic life cultivation workers (eg oyster farm worker),,62219
,,,
,,,
6222,Coastal Waters and Deep Sea Fishery Workers,,
62220,Coastal waters/Deep sea fishery worker,,62220
,,,
,,,
7,CRAFTSMEN AND RELATED TRADES WORKERS,,
,,,
,,,
71,"BUILDING AND RELATED TRADES WORKERS, EXCLUDING ",,
,     ELECTRICIANS,,
,,,
,,,
710,SUPERVISORS AND GENERAL FOREMEN (BUILDING AND ,,
,     RELATED TRADES),,
,,,
,,,
7100,Supervisors and General Foremen (Building and Related Trades),,
71000,Supervisor/General foreman (building and related trades),,71000
,,,
,,,
711,BUILDING FRAME AND RELATED TRADES WORKERS,,
,,,
,,,
7112,Bricklayers and Related Workers,,
71120,Bricklayer/Blocklayer,,71120
,,,
,,,
7113,"Stone Cutters, Splitters, Carvers and Stonemasons",,
71131,Stone cutter/Carver,,71131
71132,Stonemason,,71132
,,,
,,,
7114,"Concrete Placers, Concrete Finishers and Related Workers",,
71141,Reinforced concreter (general),,71141
71142,Concrete form worker,,71142
71143,Cement finisher/Screeder,,71143
71144,Cementer (petroleum and gas wells),,71144
71149,"Other concrete placers, concrete finishers and related workers",,71149
,,,
,,,
7115,Carpenters and Joiners,,
71151,Carpenter,,71151
71152,Joiner,,71152
,,,
,,,
7119,Building Frame and Related Trades Workers Not Elsewhere Classified,,
71191,Scaffolder,,71191
71192,Demolition worker,,71192
71193,Cladding/Curtain wall erector ,,71193
71199,Other building frame and related trades workers n.e.c. (eg steeplejack),,71199
,,,
,,,
712,BUILDING FINISHERS AND RELATED TRADES WORKERS,,
,,,
,,,
7121,Roofers,,
71210,Roofer,,71210
,,,
,,,
7122,Floor Layers and Tile Setters,,
71220,Floor/Wall tiler,,71220
,,,
,,,
7123,Plasterers,,
71230,Plasterer,,71230
,,,
,,,
7124,Insulation Workers,,
71241,Building insulator,,71241
71242,Boiler/Pipe insulator,,71242
71243,Refrigeration/Air-conditioning equipment insulator,,71243
71244,Refractory worker,,71244
71249,Other insulation workers,,71249
,,,
,,,
7125,Glaziers,,
71250,Glazier,,71250
,,,
,,,
7126,"Plumbers, Pipe Fitters and Related Workers",,
71261,Plumber,,71261
71262,Pipe fitter,,71262
71263,Pipe/Drain layer,,71263
,,,
,,,
7127,Air-Conditioning and Refrigeration Mechanics,,
71271,Air-conditioning/Refrigeration equipment mechanics,,71271
